"Kod";"Nazwa";"ogółem;ogółem;2020;[zł]";
0000000;"POLSKA";5689;
0200000;"DOLNOŚLĄSKIE";4827;
0201000;"Powiat bolesławiecki";3889;
0202000;"Powiat dzierżoniowski";2441;
0203000;"Powiat głogowski";3962;
0204000;"Powiat górowski";1815;
0205000;"Powiat jaworski";3077;
0206000;"Powiat karkonoski";4298;
0207000;"Powiat kamiennogórski";2292;
0208000;"Powiat kłodzki";2857;
0209000;"Powiat legnicki";2908;
0210000;"Powiat lubański";2859;
0211000;"Powiat lubiński";4312;
0212000;"Powiat lwówecki";2023;
0213000;"Powiat milicki";3797;
0214000;"Powiat oleśnicki";4104;
0215000;"Powiat oławski";4392;
0216000;"Powiat polkowicki";3165;
0217000;"Powiat strzeliński";3243;
0218000;"Powiat średzki";4522;
0219000;"Powiat świdnicki";3494;
0220000;"Powiat trzebnicki";4214;
0221000;"Powiat wałbrzyski";2042;
0222000;"Powiat wołowski";3302;
0223000;"Powiat wrocławski";4961;
0224000;"Powiat ząbkowicki";2155;
0225000;"Powiat zgorzelecki";3264;
0226000;"Powiat złotoryjski";2482;
0261000;"Powiat m.Jelenia Góra";3953;
0262000;"Powiat m.Legnica";3860;
0264000;"Powiat m.Wrocław";7144;
0265000;"Powiat m.Wałbrzych od 2013";2543;
0400000;"KUJAWSKO-POMORSKIE";4663;
0401000;"Powiat aleksandrowski";3798;
0402000;"Powiat brodnicki";3676;
0403000;"Powiat bydgoski";4331;
0404000;"Powiat chełmiński";3156;
0405000;"Powiat golubsko-dobrzyński";2865;
0406000;"Powiat grudziądzki";1759;
0407000;"Powiat inowrocławski";4077;
0408000;"Powiat lipnowski";2273;
0409000;"Powiat mogileński";3198;
0410000;"Powiat nakielski";3351;
0411000;"Powiat radziejowski";2038;
0412000;"Powiat rypiński";3146;
0413000;"Powiat sępoleński";2520;
0414000;"Powiat świecki";3682;
0415000;"Powiat toruński";3380;
0416000;"Powiat tucholski";2532;
0417000;"Powiat wąbrzeski";3079;
0418000;"Powiat włocławski";2188;
0419000;"Powiat żniński";3013;
0461000;"Powiat m.Bydgoszcz";5622;
0462000;"Powiat m.Grudziądz";3470;
0463000;"Powiat m.Toruń";6019;
0464000;"Powiat m.Włocławek";3823;
0600000;"LUBELSKIE";5337;
0601000;"Powiat bialski";3251;
0602000;"Powiat biłgorajski";3772;
0603000;"Powiat chełmski";2641;
0604000;"Powiat hrubieszowski";2419;
0605000;"Powiat janowski";3615;
0606000;"Powiat krasnostawski";3518;
0607000;"Powiat kraśnicki";3332;
0608000;"Powiat lubartowski";4169;
0609000;"Powiat lubelski";4468;
0610000;"Powiat łęczyński";3713;
0611000;"Powiat łukowski";4417;
0612000;"Powiat opolski";2812;
0613000;"Powiat parczewski";3320;
0614000;"Powiat puławski";4684;
0615000;"Powiat radzyński";3208;
0616000;"Powiat rycki";3204;
0617000;"Powiat świdnicki";5088;
0618000;"Powiat tomaszowski";3028;
0619000;"Powiat włodawski";2728;
0620000;"Powiat zamojski";2414;
0661000;"Powiat m.Biała Podlaska";3624;
0662000;"Powiat m.Chełm";3629;
0663000;"Powiat m.Lublin";6329;
0664000;"Powiat m.Zamość";4674;
0800000;"LUBUSKIE";3801;
0801000;"Powiat gorzowski";3874;
0802000;"Powiat krośnieński";3193;
0803000;"Powiat międzyrzecki";3095;
0804000;"Powiat nowosolski";3211;
0805000;"Powiat słubicki";3891;
0806000;"Powiat strzelecko-drezdenecki";2644;
0807000;"Powiat sulęciński";2887;
0808000;"Powiat świebodziński";3340;
0809000;"Powiat zielonogórski";3041;
0810000;"Powiat żagański";2477;
0811000;"Powiat żarski";3039;
0812000;"Powiat wschowski";2493;
0861000;"Powiat m.Gorzów Wielkopolski";4344;
0862000;"Powiat m.Zielona Góra";4526;
1000000;"ŁÓDZKIE";5078;
1001000;"Powiat bełchatowski";3501;
1002000;"Powiat kutnowski";4262;
1003000;"Powiat łaski";3242;
1004000;"Powiat łęczycki";3293;
1005000;"Powiat łowicki";4197;
1006000;"Powiat łódzki wschodni";4253;
1007000;"Powiat opoczyński";3580;
1008000;"Powiat pabianicki";4249;
1009000;"Powiat pajęczański";3395;
1010000;"Powiat piotrkowski";2548;
1011000;"Powiat poddębicki";3838;
1012000;"Powiat radomszczański";3453;
1013000;"Powiat rawski";4118;
1014000;"Powiat sieradzki";3551;
1015000;"Powiat skierniewicki";2123;
1016000;"Powiat tomaszowski";4225;
1017000;"Powiat wieluński";4244;
1018000;"Powiat wieruszowski";3435;
1019000;"Powiat zduńskowolski";3535;
1020000;"Powiat zgierski";4018;
1021000;"Powiat brzeziński";3950;
1061000;"Powiat m.Łódź";5514;
1062000;"Powiat m.Piotrków Trybunalski";4215;
1063000;"Powiat m.Skierniewice";5207;
1200000;"MAŁOPOLSKIE";7250;
1201000;"Powiat bocheński";4865;
1202000;"Powiat brzeski";3728;
1203000;"Powiat chrzanowski";3626;
1204000;"Powiat dąbrowski";3125;
1205000;"Powiat gorlicki";3395;
1206000;"Powiat krakowski";5245;
1207000;"Powiat limanowski";4477;
1208000;"Powiat miechowski";4069;
1209000;"Powiat myślenicki";5711;
1210000;"Powiat nowosądecki";4313;
1211000;"Powiat nowotarski";5541;
1212000;"Powiat olkuski";3697;
1213000;"Powiat oświęcimski";4073;
1214000;"Powiat proszowicki";3952;
1215000;"Powiat suski";3877;
1216000;"Powiat tarnowski";3896;
1217000;"Powiat tatrzański";10588;
1218000;"Powiat wadowicki";4828;
1219000;"Powiat wielicki";5309;
1261000;"Powiat m.Kraków";8277;
1262000;"Powiat m.Nowy Sącz";4275;
1263000;"Powiat m.Tarnów";4183;
1400000;"MAZOWIECKIE";7646;
1401000;"Powiat białobrzeski";4075;
1402000;"Powiat ciechanowski";3907;
1403000;"Powiat garwoliński";4417;
1404000;"Powiat gostyniński";3177;
1405000;"Powiat grodziski";4577;
1406000;"Powiat grójecki";4485;
1407000;"Powiat kozienicki";3673;
1408000;"Powiat legionowski";5223;
1409000;"Powiat lipski";2528;
1410000;"Powiat łosicki";3683;
1411000;"Powiat makowski";3092;
1412000;"Powiat miński";4952;
1413000;"Powiat mławski";3692;
1414000;"Powiat nowodworski";5022;
1415000;"Powiat ostrołęcki";0;
1416000;"Powiat ostrowski";3782;
1417000;"Powiat otwocki";5222;
1418000;"Powiat piaseczyński";5544;
1419000;"Powiat płocki";2494;
1420000;"Powiat płoński";3808;
1421000;"Powiat pruszkowski";5882;
1422000;"Powiat przasnyski";3441;
1423000;"Powiat przysuski";2927;
1424000;"Powiat pułtuski";3343;
1425000;"Powiat radomski";2627;
1426000;"Powiat siedlecki";2914;
1427000;"Powiat sierpecki";3407;
1428000;"Powiat sochaczewski";4194;
1429000;"Powiat sokołowski";3777;
1430000;"Powiat szydłowiecki";2564;
1432000;"Powiat warszawski zachodni";5338;
1433000;"Powiat węgrowski";3673;
1434000;"Powiat wołomiński";5249;
1435000;"Powiat wyszkowski";4641;
1436000;"Powiat zwoleński";2198;
1437000;"Powiat żuromiński";3295;
1438000;"Powiat żyrardowski";4577;
1461000;"Powiat m.Ostrołęka";4101;
1462000;"Powiat m.Płock";4326;
1463000;"Powiat m.Radom";4402;
1464000;"Powiat m.Siedlce";5121;
